Accession Code (sample#),Lake Name, DEC Code,Date,Z max (m),Sample Type,Sample Z (m),Sample Layer,Secchi (m),Conductivity (umhos),pH air eq,ANC (ueq/L),NH4-N (ug N/L),NH4+ (mg/L),NH4+ (ueq/L),DIC (mg/L),DOC (mg/L),F (mg/L),Cl (mg/L),Cl (ueq/L),NO3-N (mg N/L),NO3- (mg/L),NO3- (ueq/L),SO4-S (mg S/L),SO4-- (mg/L),SO4-- (ueq/L),Total P (ug/L),MRP    (ug P/L),TFP (ug/L),TN (mg/L),Chla (ug/L),Si (mg/l),Dissolved Silica SiO2 (mg/l),Na (mg/L),Na (ueq/L),K (mg/L),K (ueq/L),Fe (mg/L),Mg (mg/L),Mg (ueq/L),Ca (mg/L),Ca (ueq/L),Total Al (ug/L),Total mono Al (ug/L),Nonlabile mono Al (ug/L),Labile mono Ali (ug/L),Hydrologic Type,Watershed,Watershed area (ha),lake volume (m3),WA/SA ratio,surface area (ha),surface area (m2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446846,Big Moose,040752,30-Jun-94,22.8,I,6.0,Ye,3.80,21.50,5.10,1.20,25.00,0.03,1.77,3.57,4.30,,0.15,4.20,0.29,1.30,20.83,1.32,3.96,79.20,5.50,3.20,2.40,0.66,0.82,0.25,3.62,0.54,23.22,0.33,8.25,0.20,0.27,22.14,1.19,58.43,228.00,180.00,53.00,127.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446867,Big Moose,040752,25-Jul-94,23.0,I,6.0,Ye,5.20,21.00,5.36,-1.30,25.00,0.03,1.77,0.44,2.83,,0.43,12.04,0.27,1.21,19.42,1.58,4.74,94.80,4.80,1.60,0.50,0.57,0.94,1.44,3.08,0.49,21.07,0.32,8.00,0.14,0.28,22.71,1.58,77.48,203.00,99.00,36.00,63.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446984,Big Moose,040752,30-Aug-94,22.4,I,9.0,Ye,6.10,22.00,5.31,12.00,50.00,0.06,3.54,0.41,3.64,,0.42,11.76,0.24,1.06,16.94,1.56,4.68,93.60,1.50,1.60,3.80,0.43,1.88,1.55,3.32,0.53,22.79,0.30,7.50,0.05,0.29,23.53,1.41,69.33,162.00,110.00,61.00,49.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9546852,Big Moose,040752,20-Jun-95,17.5,I,4.0,Ye,5.00,19.00,5.50,5.70,90.00,0.12,6.37,0.52,2.66,,0.66,18.42,0.37,1.63,26.15,1.43,4.29,85.86,9.70,2.10,7.20,0.82,,1.63,3.49,0.66,28.38,0.41,10.25,0.05,0.31,25.42,1.14,55.70,195.00,110.00,34.00,76.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9546871,Big Moose,040752,7-Aug-95,22.0,I,7.0,Ye,5.00,22.00,5.51,4.95,60.00,0.08,4.24,0.95,3.58,,0.73,20.44,0.36,1.59,25.51,1.42,4.26,85.20,1.20,2.49,7.70,0.70,1.24,1.81,3.87,0.65,27.95,0.33,8.25,0.17,0.32,26.24,1.46,71.53,156.00,56.00,26.00,30.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9546971,Big Moose,040752,12-Sep-95,22.8,I,10.0,Ye,5.80,18.00,5.60,-13.40,12.00,0.02,0.85,1.97,3.38,,0.48,13.30,0.28,1.26,20.13,1.45,4.36,87.26,1.30,1.79,4.12,0.42,0.48,1.30,2.78,0.67,28.81,0.36,9.00,0.13,0.31,25.42,1.29,63.45,119.00,56.00,21.00,35.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9646742,Big Moose,040752,26-Jun-96,18.6,I,3.0,Ye,3.30,18.30,4.94,-10.00,5.00,0.01,0.35,0.60,5.63,,0.27,7.56,0.18,0.80,12.76,1.21,3.63,72.60,8.43,1.81,0.50,0.46,1.28,1.25,2.68,0.51,21.93,0.31,7.75,0.16,0.25,20.50,0.91,44.46,328.00,210.00,59.00,151.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9646828,Big Moose,040752,23-Jul-96,22.0,I,6.0,Ye,3.20,17.10,5.23,-1.46,26.00,0.03,1.84,0.93,4.63,,0.26,7.28,0.22,0.97,15.59,1.51,4.53,90.60,5.13,0.50,0.50,0.59,0.45,,,0.51,21.93,0.28,7.00,0.20,0.27,22.14,1.14,55.74,312.00,162.00,81.00,81.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9646900,Big Moose,040752,20-Aug-96,21.8,I,5.0,Ye,4.50,17.50,5.39,8.54,5.00,0.01,0.35,0.72,7.15,,0.47,13.08,0.22,0.98,15.66,1.66,4.97,99.42,7.71,0.50,0.50,0.62,0.43,1.24,2.65,0.55,23.65,0.28,7.00,0.12,0.28,22.96,1.30,63.74,317.00,220.00,86.00,134.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9746863,Big Moose,040752,9-Jul-97,22.0,I,5.0,Ye,8.50,19.50,5.39,0.92,10.00,0.01,0.71,0.25,5.00,0.13,0.54,15.12,0.32,1.42,22.68,1.23,3.69,73.80,5.00,1.07,0.50,0.51,1.23,1.52,3.25,0.55,23.65,0.33,8.25,0.13,0.20,16.40,1.48,72.31,169.00,55.00,27.00,28.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9746935,Big Moose,040752,19-Aug-97,21.3,I,6.0,Ye,5.30,17.50,5.54,8.00,5.00,0.01,0.35,0.25,4.20,0.13,0.17,4.76,0.25,1.11,17.72,1.46,4.38,87.60,5.40,1.20,1.70,0.49,1.60,1.42,3.04,0.69,29.67,0.33,8.25,0.14,0.33,26.81,1.16,57.07,204.00,84.00,45.00,39.00,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9846646,Big Moose,040752,14-Jul-98,21.0,I,4.0,Ye,3.00,17.60,5.37,-4.62,11.96,0.02,0.85,0.43,5.77,,0.20,5.67,0.17,0.75,11.98,1.11,3.34,66.79,6.25,1.63,2.25,0.54,1.43,1.60,3.42,0.51,22.06,0.26,6.55,0.15,0.23,18.78,1.43,70.07,,132.44,63.82,68.62,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9846718,Big Moose,040752,17-Aug-98,22.5,I,6.0,Ye,3.70,20.80,5.45,-11.75,12.75,0.02,0.90,0.25,5.21,0.19,,,0.14,0.62,9.92,2.05,6.15,123.00,6.00,2.39,5.30,0.39,3.35,,,0.63,27.09,0.29,7.30,0.21,0.24,20.01,1.64,80.23,,82.70,26.68,56.02,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9946145,Big Moose,040752,30-Jun-99,18.0,I,4.0,Ye,6.20,23.50,5.78,5.67,20.53,0.03,1.45,0.25,3.45,0.01,0.77,21.56,0.25,1.11,17.72,1.40,4.20,84.00,5.17,2.24,1.48,0.41,1.01,1.63,3.48,0.62,26.66,0.33,8.33,0.17,0.29,24.11,1.94,94.91,104.29,49.93,10.31,39.62,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9946219,Big Moose,040752,24-Aug-99,19.0,I,6.0,Ye,5.20,17.50,5.90,30.20,18.57,0.02,1.31,,1.65,0.06,0.52,14.56,0.22,0.97,15.59,1.73,5.19,103.80,3.25,2.29,0.50,0.47,1.58,1.38,2.95,0.65,27.91,0.36,8.90,0.16,0.31,25.58,1.48,72.72,112.20,27.64,0.80,26.84,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10046548,Big Moose,040752,19-Jul-00,21.6,I,7.0,Ye,3.50,16.50,5.55,6.13,7.11,0.01,0.50,0.50,2.80,0.06,0.37,10.28,0.14,0.64,10.20,1.39,4.18,83.58,3.99,3.22,2.26,0.39,1.71,1.37,2.93,0.54,23.18,0.29,7.15,0.24,0.26,21.40,1.64,80.56,212.22,76.82,28.74,48.07,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10046621,Big Moose,040752,23-Aug-00,22.5,I,8.0,Ye,4.40,14.90,5.43,2.43,20.48,0.03,1.45,0.50,4.32,0.06,0.25,6.86,0.12,0.54,8.57,1.41,4.22,84.48,6.81,3.55,2.19,0.33,2.77,1.24,2.65,0.57,24.60,0.31,7.78,0.26,0.24,19.27,1.64,80.31,209.39,88.48,33.41,55.07,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146056,Big Moose,040752,18-Jul-01,22.5,I,6.0,Ye,5.10,15.00,5.61,4.57,15.93,0.02,1.13,0.38,6.85,0.05,0.77,21.50,0.20,0.86,13.82,1.28,3.83,76.56,4.01,2.67,1.47,0.41,1.46,1.26,2.70,0.62,26.66,0.29,7.30,0.13,0.24,19.76,1.47,72.18,193.82,69.94,7.18,62.76,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146135,Big Moose,040752,8-Aug-01,21.3,I,4.0,Ye,6.50,16.40,5.92,12.31,10.11,0.01,0.72,0.46,2.95,0.05,0.24,6.78,0.18,0.78,12.47,1.28,3.84,76.74,4.07,0.50,1.70,0.39,1.61,1.29,2.76,0.54,23.39,0.28,7.10,0.13,0.26,21.07,1.55,76.05,136.81,29.22,5.07,24.15,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10246056,Big Moose,040752,14-Aug-02,21.2,I,6.0,Ye,6.20,16.80,5.81,13.39,24.78,0.03,1.75,0.39,2.72,0.06,0.37,10.36,0.21,0.92,14.74,1.39,4.18,83.52,3.70,3.92,1.77,0.35,0.98,1.80,3.85,0.61,26.32,0.29,7.18,0.13,0.26,21.48,1.55,76.10,145.41,44.53,4.85,39.68,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10246138,Big Moose,040752,17-Sep-02,21.3,I,9.0,Ye,7.00,16.40,5.77,4.49,22.27,0.03,1.57,0.50,2.39,0.07,0.36,9.97,0.21,0.91,14.53,1.47,4.40,88.08,3.40,1.35,1.41,0.35,1.45,1.51,3.23,0.61,26.14,0.28,6.98,0.13,0.25,20.25,1.55,76.00,111.28,29.84,0.00,29.84,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346057,Big Moose,040752,16-Jul-03,22.0,I,6.0,Ye,4.80,16.00,5.69,10.73,17.04,0.02,1.21,,2.19,0.04,0.39,10.89,0.18,0.79,12.68,1.13,3.39,67.86,5.10,1.11,0.50,0.49,1.53,1.10,2.35,0.62,26.49,0.36,9.05,0.19,0.26,21.07,1.65,80.85,198.11,57.92,8.38,49.53,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346145,Big Moose,040752,13-Aug-03,,I,,Ye,,16.00,5.47,3.67,9.47,0.01,0.67,0.61,3.40,0.04,0.32,8.99,0.18,0.81,12.90,1.43,4.30,85.98,4.16,1.21,1.54,0.41,2.06,1.38,2.95,0.59,25.37,0.28,6.88,0.30,0.24,19.60,1.35,65.95,200.62,70.38,13.15,57.23,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346178,Big Moose,040752,5-Sep-03,20.0,I,7.0,Ye,4.30,16.80,5.68,6.98,17.94,0.02,1.27,,4.13,0.04,0.41,11.54,0.16,0.72,11.48,1.41,4.23,84.66,3.01,0.50,1.44,0.37,3.12,1.25,2.68,0.80,34.53,0.31,7.78,0.13,0.25,20.09,1.55,76.15,173.04,54.01,6.40,47.62,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10446059,Big Moose,040752,7-Jul-04,22.5,I,6.0,Ye,4.70,15.40,5.53,11.49,13.30,0.02,0.94,0.40,2.54,0.04,0.26,7.28,0.21,0.93,14.95,1.30,3.89,77.88,6.04,0.50,1.39,0.35,1.41,1.42,3.04,0.60,25.84,0.32,8.03,0.13,0.27,22.47,1.48,72.37,209.09,66.16,22.34,43.82,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10446143,Big Moose,040752,10-Aug-04,24.0,I,6.0,Ye,4.50,13.40,5.68,9.29,11.22,0.01,0.79,0.50,2.39,0.06,0.63,17.67,0.15,0.68,10.84,1.39,4.17,83.46,1.61,1.64,1.57,0.37,3.31,1.65,3.53,0.59,25.46,0.31,7.80,0.13,0.27,21.73,1.46,71.44,164.60,48.14,14.54,33.59,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10546058,Big Moose,040752,20-Jul-05,23.3,I,4.0,Ye,4.10,16.60,5.82,-0.68,5.00,0.01,0.35,0.42,3.17,0.05,0.43,11.96,0.17,0.75,11.98,1.19,3.57,71.40,2.32,0.50,1.27,0.41,3.15,1.53,3.27,0.71,30.66,0.33,8.33,0.34,0.25,20.83,1.41,69.09,183.67,43.28,13.60,29.68,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10546144,Big Moose,040752,17-Aug-05,23.2,I,5.0,Ye,4.90,16.90,6.12,14.67,5.00,0.01,0.35,0.38,2.31,0.05,0.47,13.19,0.12,0.54,8.65,1.19,3.57,71.40,3.34,2.48,2.93,0.23,4.74,1.30,2.78,0.77,33.07,0.36,9.00,0.26,0.25,20.42,1.39,68.26,133.42,32.19,10.60,21.59,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10646058,Big Moose,040752,17-Jul-06,22.6,I,4.0,Ye,3.95,16.20,5.53,5.80,5.00,0.01,0.35,0.51,4.46,0.05,0.39,11.03,0.08,0.35,5.63,1.16,3.48,69.60,5.85,3.31,1.77,0.38,4.30,1.35,2.89,0.56,24.17,0.26,6.60,0.44,0.22,18.20,1.42,69.68,274.89,58.09,22.40,35.70,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10646144,Big Moose,040752,16-Aug-06,20.5,I,6.0,Ye,4.10,16.10,5.74,10.14,12.60,0.02,0.89,0.51,2.95,0.05,0.36,10.05,0.05,0.24,3.89,1.09,3.27,65.40,7.81,3.84,1.10,0.31,4.05,1.17,2.50,0.61,26.32,0.24,5.90,0.13,0.22,18.29,1.40,68.75,230.67,56.58,20.18,36.40,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746022,Big Moose,040752,12-Jul-07,21.0,I,5.0,Ye,4.90,15.50,5.72,4.15,14.80,0.02,1.10,0.42,4.40,0.06,0.43,11.98,0.31,1.37,21.92,1.25,3.75,75.00,3.70,4.81,2.35,0.24,1.78,1.62,3.47,0.55,23.82,0.28,7.05,0.13,0.24,19.52,1.31,63.99,177.37,62.17,22.29,39.88,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746064,Big Moose,040752,31-Jul-07,21.0,I,6.0,Ye,4.90,14.60,5.73,8.05,5.00,0.01,0.55,0.46,1.75,0.03,0.72,20.05,0.03,0.11,1.76,0.14,0.42,8.40,7.80,4.18,0.50,0.40,3.05,1.50,3.21,0.58,24.85,0.31,7.80,0.16,0.22,17.71,1.33,65.17,160.93,51.92,19.27,32.65,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10846023,Big Moose,040752,1-Jul-08,20.9,I,5.0,Ye,4.50,6.60,5.72,10.03,31.60,0.04,2.24,0.44,1.70,0.05,0.54,15.04,0.15,0.66,10.56,1.14,3.42,68.40,3.76,3.87,0.50,0.25,0.41,1.51,3.23,0.49,21.11,0.31,7.63,0.13,0.18,14.68,1.71,83.55,185.25,26.42,12.06,14.36,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10846065,Big Moose,040752,4-Aug-08,20.5,I,6.0,Ye,3.00,11.70,5.84,9.29,21.90,0.03,1.55,,2.78,0.03,0.39,10.86,0.11,0.47,7.52,1.10,3.30,66.00,4.93,1.28,0.91,0.33,3.58,1.53,3.27,0.51,21.76,0.28,7.05,0.13,0.19,15.33,1.87,91.53,187.12,51.78,31.68,20.10,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11046023,Big Moose,040752,8-Jul-10,21.0,I,1.0,Ye,2.80,14.60,5.92,16.24,21.30,0.03,1.51,0.39,4.42,0.06,0.57,16.02,0.03,0.11,1.76,1.30,3.90,78.00,5.21,4.80,0.13,0.22,3.40,1.41,3.02,0.67,28.72,0.22,5.50,0.13,0.17,13.69,0.97,47.43,199.52,53.00,27.15,25.85,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11046066,Big Moose,040752,18-Aug-10,22.5,I,6.0,Ye,3.50,14.80,6.13,23.64,22.30,0.03,1.58,0.47,4.00,0.05,0.44,12.18,0.00,0.02,0.32,0.98,2.93,58.60,4.78,3.50,4.12,0.26,7.57,1.35,2.89,0.62,26.70,0.18,4.50,0.14,0.17,14.02,0.92,44.98,149.65,33.03,13.47,19.56,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11146022,Big Moose,040752,12-Jul-11,21.5,I,5.0,Ye,2.8,8.40,5.84,16.75,20.00,0.03,1.41,0.43,3.23,0.03,0.26,7.39,0.05,0.23,3.68,0.55,1.66,33.20,8.69,2.04,2.65,0.35,3.33,1.51,3.23,0.51,21.72,0.26,6.58,0.29,0.19,15.66,1.21,59.44,149.18,72.23,40.80,31.44,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11146061,Big Moose,040752,9-Aug-11,21.0,I,5.0,Ye,2.8,12.50,6.02,15.11,11.10,0.01,0.78,0.439,4.278,0.0250,0.242,6.78,0.393,1.741,27.856,0.799,2.40,47.94,4.62,5.29,1.46,0.20,3.63,1.17,2.50,0.533,22.919,2.65,66.25,0.36,0.197,16.154,1.223,59.927,111.936,41.446,16.190,25.26,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11246021,Big Moose,040752,9-Jul-12,21.0,I,4.0,Ye,3.30,14.8,6.13,22.40,32.50,0.042,2.299,0.433,3.554,0.0515,0.401,11.228,0.200,0.886,14.173,0.861,2.583,51.660,4.758,3.060,4.541,0.463,4.20,1.55,3.32,0.658,28.294,0.227,5.675,0.231,0.245,20.090,1.914,93.786,204.31,27.685,8.338,19.35,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11246061,Big Moose,040752,7-Aug-12,18.0,I,6.0,Ye,5.90,15.10,6.28,26.47,34.80,0.045,2.461,0.536,3.230,0.0493,0.494,13.832,0.122,0.540,8.645,0.817,2.451,49.020,3.882,3.060,0.381,0.468,4.32,1.29,2.76,0.579,24.897,0.219,5.475,0.195,0.240,19.680,1.654,81.046,150.16,20.94,3.400,17.54,TDL,black,9643.7,N/A,18.84,511.9,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446859,Big Moose,040752,30-Jun-94,22.80,G,21.00,Yh,3.80,22.80,5.03,7.20,50.00,0.06,3.54,0.81,4.71,,0.32,8.96,0.36,1.60,25.58,1.38,4.14,82.80,3.60,4.00,2.90,0.64,0.65,1.94,4.15,0.46,19.78,0.35,8.75,0.22,0.26,21.40,1.35,65.98,,,,,TDL,black,9643.70,N/A,18.84,511.90,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446868,Big Moose,040752,25-Jul-94,23.00,G,22.00,Yh,5.20,23.00,5.14,-1.40,90.00,0.12,6.37,0.57,3.17,,0.39,10.92,0.34,1.52,24.31,1.56,4.68,93.60,3.70,1.80,,0.66,0.49,1.88,4.02,0.46,19.78,0.34,8.50,0.25,0.28,23.21,1.39,68.22,334.00,190.00,47.00,143.00,TDL,black,9643.70,N/A,18.84,511.90,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446985,Big Moose,040752,30-Aug-94,22.40,G,20.00,Yh,6.10,25.00,5.19,19.00,90.00,0.12,6.37,0.43,3.60,,0.43,12.04,0.34,1.48,23.74,1.54,4.62,92.40,,1.80,6.90,0.56,0.83,2.32,4.96,0.51,21.93,0.34,8.50,0.22,0.27,22.47,1.71,83.99,310.00,160.00,48.00,112.00,TDL,black,9643.70,N/A,18.84,511.90,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9546854,Big Moose,040752,20-Jun-95,17.50,G,17.00,Yh,5.00,20.00,5.43,7.85,30.00,0.04,2.12,,3.08,,0.61,17.11,0.30,1.34,21.40,1.41,4.23,84.60,4.60,2.10,7.10,0.05,,1.65,3.53,0.73,31.39,0.43,10.75,0.10,0.31,25.42,1.44,70.56,239.00,100.00,40.00,60.00,TDL,black,9643.70,N/A,18.84,511.90,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9546872,Big Moose,040752,7-Aug-95,22.00,G,21.00,Yh,5.00,19.00,5.38,-6.22,90.00,0.12,6.37,1.64,3.34,,0.63,17.64,0.51,2.26,36.14,1.38,4.14,82.80,5.20,1.20,3.20,0.90,0.25,2.18,4.67,0.62,26.66,0.35,8.75,0.19,0.31,25.42,1.49,73.15,267.00,140.00,33.00,107.00,TDL,black,9643.70,N/A,18.84,511.90,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9546972,Big Moose,040752,12-Sep-95,22.80,G,22.00,Yh,5.80,19.00,5.63,13.00,133.00,0.17,9.41,2.39,3.66,,0.52,14.42,0.35,1.53,24.52,1.34,4.03,80.51,1.90,2.07,2.23,0.82,1.79,0.17,0.36,0.67,28.81,0.39,9.75,0.58,0.29,23.78,1.24,60.54,313.00,140.00,60.00,80.00,TDL,black,9643.70,N/A,18.84,511.90,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9646743,Big Moose,040752,26-Jun-96,18.60,G,17.00,Yh,3.30,19.60,5.18,2.32,31.00,0.04,2.19,1.41,5.01,,0.28,7.84,0.27,1.20,19.13,1.17,3.51,70.20,2.45,0.50,,0.77,0.29,1.90,4.07,0.55,23.65,0.32,8.00,0.24,0.27,22.14,1.46,71.59,322.00,250.00,73.00,177.00,TDL,black,9643.70,N/A,18.84,511.90,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9646830,Big Moose,040752,23-Jul-96,22.00,G,20.00,Yh,3.20,19.00,5.26,-5.31,64.00,0.08,4.53,1.78,3.81,,0.34,9.52,0.35,1.56,24.94,1.62,4.86,97.20,4.07,0.50,1.95,0.63,0.07,0.00,,0.55,23.65,0.32,8.00,0.30,0.28,22.96,1.42,69.38,330.00,220.00,81.00,139.00,TDL,black,9643.70,N/A,18.84,511.90,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9646901,Big Moose,040752,20-Aug-96,21.80,G,20.00,Yh,4.50,19.60,5.41,-7.83,73.00,0.09,5.16,1.97,6.71,,0.46,12.85,0.35,1.56,24.94,1.67,5.02,100.38,7.12,0.50,1.58,0.68,1.60,2.03,4.34,0.55,23.65,0.31,7.75,0.40,0.28,22.96,1.52,74.36,80.00,21.00,21.00,0.00,TDL,black,9643.70,N/A,18.84,511.90,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9746864,Big Moose,040752,9-Jul-97,22.00,G,20.00,Yh,8.50,20.70,5.82,-6.24,30.00,0.04,2.12,1.03,5.20,0.03,0.28,7.84,0.40,1.77,28.35,1.54,4.62,92.40,5.60,1.07,3.30,0.60,0.29,1.91,4.09,0.53,22.79,0.35,8.75,0.21,0.20,16.40,1.38,67.43,337.00,130.00,50.00,80.00,TDL,black,9643.70,N/A,18.84,511.90,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9746937,Big Moose,040752,19-Aug-97,21.30,G,20.00,Yh,5.30,19.80,5.35,2.00,40.00,0.05,2.83,1.41,4.60,0.13,0.17,4.76,0.35,1.55,24.80,1.37,4.11,82.20,11.70,1.20,6.60,0.67,0.60,1.97,4.22,0.54,23.22,0.35,8.75,0.29,0.28,22.80,1.49,73.18,343.00,240.00,64.00,176.00,TDL,black,9643.70,N/A,18.84,511.90,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9846647,Big Moose,040752,14-Jul-98,21.00,G,20.00,Yh,3.00,19.46,5.51,2.41,31.61,0.04,2.24,1.80,4.19,0.05,0.30,8.32,0.34,1.50,23.95,1.43,4.28,85.67,5.41,2.22,2.25,0.72,0.16,2.14,4.58,0.54,23.13,0.36,9.00,0.46,0.24,19.84,1.41,68.92,,147.31,58.23,89.08,TDL,black,9643.70,N/A,18.84,511.90,5119000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
