_EF_NAICS_EZ.NAICS_CODE,V_EF_NAICS_EZ.REGISTRY_ID,V_EF_NAICS_EZ.STATE_CODE
4471,110007826308,RI
4471,110004915628,RI
54162,110004915664,RI
811111,110007826335,RI
811111,110004916299,RI
811111,110004916645,RI
4471,110004916887,RI
811198,110004916994,RI
62121,110007827209,RI
621112,110009441684,RI
81232,110004922022,RI
325992,110009441719,RI
44719,110007827316,RI
4471,110004923236,RI
811111,110004921577,RI
811111,110004921595,RI
44719,110004923370,RI
44719,110004923389,RI
4471,110004923441,RI
621112,110004923799,RI
92119,110007827361,RI
56174,110004923959,RI
811111,110004924495,RI
44131,110033622747,RI
62121,110004919161,RI
4471,110004920818,RI
62121,110004921728,RI
4471,110004923423,RI
44611,110035439558,RI
327320,110009441577,RI
337215,110015784418,RI
325211,110004930825,RI
332811,110004897112,RI
339995,110001664413,RI
313221,110021277875,RI
332813,110004900199,RI
332813,110022506741,RI
3399,110004930629,RI
2211,110009450478,RI
326199,110012708150,RI
332813,110021278874,RI
3399,110000895130,RI
812320,110021350795,RI
33351,110000496044,RI
611310,110021350857,RI
45431,110032893938,RI
313320,110021347381,RI
3399,110000901490,RI
454312,110001663174,RI
53112,110021082665,RI
812320,110004917207,RI
812320,110004926028,RI
812320,110015686337,RI
3399,110021175896,RI
812320,110004930488,RI
611310,110021175958,RI
53112,110011396328,RI
925110,110021277679,RI
925110,110021277697,RI
3399,110004909957,RI
324121,110001662610,RI
332813,110016692408,RI
333319,110021355987,RI
812320,110004897513,RI
325510,110012480225,RI
3261,110021357324,RI
313311,110021176216,RI
332813,110001664182,RI
32612,110000312732,RI
622210,110010364845,RI
32612,110000312082,RI
48811,110038053469,RI
334512,110000771898,RI
71393,110037085301,RI
334518,110037442005,RI
332811,110037442014,RI
323114,110037442023,RI
332213,110037442087,RI
33322,110037441890,RI
62121,110037442158,RI
54171,110037442185,RI
44611,110037442194,RI
237310,110042393406,RI
326199,110004907281,RI
45211,110037441809,RI
811198,110004923931,RI
812921,110017278088,RI
339911,110001663423,RI
62121,110004917635,RI
339999,110007824961,RI
56173,110004909243,RI
332812,110004906601,RI
53112,110024439758,RI
81149,110038910131,RI
44112,110032659996,RI
339116,110004900055,RI
49311,110009439009,RI
325188,110035831222,RI
81231,110004912569,RI
49311,110037442096,RI
81232,110004905746,RI
325211,110007824694,RI
51711,110038910462,RI
221122,110038910499,RI
51711,110038862718,RI
62121,110004935321,RI
45291,110004936605,RI
44411,110038910186,RI
62121,110038910319,RI
56174,110038910355,RI
3219,110001664048,RI
561439,110004925118,RI
81232,110012481411,RI
331111,110000762951,RI
32532,110042010203,RI
811411,110022305389,RI
44422,110022305405,RI
81112,110009438199,RI
48841,110004898745,RI
51711,110031405218,RI
621399,110039562871,RI
339992,110001662889,RI
331528,110000871290,RI
332721,110002087161,RI
335929,110012798641,RI
326199,110043555630,RI
313230,110001663762,RI
484122,110040101617,RI
221320,110000760739,RI
3399,110001662745,RI
23731,110040135083,RI
3329,110008053499,RI
81112,110044831475,RI
3399,110038789834,RI
333314,110044831439,RI
541511,110000904996,RI
221320,110000762096,RI
332312,110044831448,RI
611110,110001991578,RI
611310,110028720169,RI
32311,110001663209,RI
4471,110014389107,RI
485410,110004897014,RI
321114,110006693765,RI
11121,110041679476,RI
488490,110004936339,RI
45211,110004921345,RI
325613,110002087740,RI
441110,110004905906,RI
3399,110031266065,RI
4931,110000499318,RI
11251,110009701135,RI
313311,110009813309,RI
114111,110013738054,RI
331528,110002087526,RI
335122,110004913041,RI
922140,110007176876,RI
333994,110000313036,RI
323122,110001663209,RI
488490,110009813283,RI
713940,110006693658,RI
221320,110000735740,RI
325211,110000499292,RI
928110,110004911720,RI
454311,110020546293,RI
313111,110000772085,RI
